name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
gxui,google,4427,297,Go,2015-03-16T17:12:37Z,2025-06-20T10:25:41Z,1652,4427,46,Organization,2777,United States of America,310,0,18,0,1
progressbar,schollz,4421,232,Go,2017-10-26T18:28:10Z,2025-06-22T03:41:09Z,1282,4421,13,User,1108,"Seattle, WA",23,58,62,7,2
litefs,superfly,4420,105,Go,2022-04-21T17:03:28Z,2025-06-21T10:49:02Z,1074,4420,57,Organization,233,,43,6,19,5,0
natpass,lwch,4418,492,Go,2021-07-30T08:02:42Z,2025-06-21T04:01:22Z,17596,4418,19,User,46,Shanghai,52,0,3,1,1
archiver,mholt,4414,391,Go,2016-04-08T22:46:55Z,2025-06-17T07:23:42Z,549,4414,10,User,59,,51,15,69,0,0
tools,googlecodelabs,4406,1203,Go,2016-01-22T13:28:44Z,2025-06-21T18:02:16Z,76686,4406,243,Organization,166,,257,0,47,5,58
cameradar,Ullaakut,4405,551,Go,2016-05-20T11:35:41Z,2025-06-21T16:56:28Z,37223,4405,28,User,55,"Rennes, France",143,2,14,4,0
gau,lc,4405,481,Go,2020-02-25T01:10:17Z,2025-06-21T03:49:06Z,117,4405,31,User,31,"South Dakota, USA",49,8,16,7,10
arkade,alexellis,4399,295,Go,2020-02-26T08:43:58Z,2025-06-21T07:26:22Z,12586,4399,85,User,445,United Kingdom,37,58,90,33,14
gofpdf,jung-kurt,4398,808,Go,2015-03-13T11:57:30Z,2025-06-20T02:35:14Z,6122,4398,56,User,15,"Holly, Michigan, United States",106,0,57,0,0
evans,ktr0731,4398,191,Go,2017-07-16T05:10:41Z,2025-06-19T07:58:53Z,49768,4398,36,User,138,"Tokyo, Japan",28,0,33,3,14
paopao-ce,rocboss,4367,637,Go,2022-05-24T02:43:42Z,2025-06-22T03:54:41Z,26559,4367,9,User,25,"Shanghai, China",42,158,18,77,0
prest,prest,4361,294,Go,2016-11-22T05:17:05Z,2025-06-21T04:09:13Z,17468,4361,141,Organization,28,,82,18,69,12,6
mage,magefile,4361,264,Go,2017-09-20T19:52:55Z,2025-06-22T00:13:36Z,8038,4361,128,Organization,4,,43,4,68,5,33
virtual-kubelet,virtual-kubelet,4359,630,Go,2017-12-04T19:32:57Z,2025-06-19T18:47:49Z,60673,4359,80,Organization,16,,99,29,126,46,15
telebot,tucnak,4357,496,Go,2015-06-25T19:27:50Z,2025-06-21T12:33:21Z,1053,4357,54,User,41,Kyiv,57,34,85,6,19
under-the-hood,golang-design,4344,502,Go,2018-09-18T07:51:56Z,2025-06-17T10:09:27Z,60569,4344,12,Organization,23,"München, Deutschland",271,0,25,0,1
go-recipes,nikolaydubina,4343,163,Go,2021-06-26T12:57:05Z,2025-06-20T07:50:10Z,23852,4343,29,User,55,,42,15,14,1,0
dalfox,hahwul,4342,473,Go,2020-04-12T07:04:10Z,2025-06-22T04:43:39Z,32538,4342,47,User,159,Republic of Korea (South),54,475,29,138,0
dockertest,ory,4332,251,Go,2015-03-19T22:40:20Z,2025-06-21T07:03:13Z,1179,4332,23,Organization,179,Germany,30,48,98,33,11
monitoror,monitoror,4330,192,Go,2019-01-11T14:59:26Z,2025-06-18T19:40:31Z,2955,4330,74,Organization,1,"Lille, France",39,12,3,0,4
netpoll,cloudwego,4329,490,Go,2021-02-25T07:24:02Z,2025-06-21T16:52:45Z,633,4329,24,Organization,46,,72,32,34,26,13
hystrix-go,afex,4315,478,Go,2013-12-15T08:51:23Z,2025-06-19T13:36:59Z,265,4315,56,User,24,"san francisco, ca",90,0,9,0,29
blockchain_go,Jeiwan,4312,1193,Go,2017-08-15T07:03:13Z,2025-06-19T16:59:00Z,88,4312,52,User,140,,180,0,4,1,19
dae,daeuniverse,4311,272,Go,2023-01-23T11:53:16Z,2025-06-21T17:44:12Z,4220,4311,102,Organization,31,,23,105,42,86,24
goflyway,coyove,4309,656,Go,2017-08-20T15:29:12Z,2025-06-20T06:20:26Z,11140,4309,85,User,51,Nanjing,181,0,5,0,8
pomerium,pomerium,4307,302,Go,2019-01-01T08:04:37Z,2025-06-21T08:30:20Z,75615,4307,134,Organization,45,United States of America,42,329,86,242,32
google-cloud-go,googleapis,4274,1433,Go,2014-05-09T11:11:58Z,2025-06-19T23:51:19Z,424961,4274,386,Organization,865,,268,1164,389,1095,103
kcp-go,xtaci,4270,755,Go,2015-06-16T06:15:55Z,2025-06-22T05:56:41Z,928,4270,63,User,147,Chengdu🐼,143,104,20,12,9
google-api-go-client,googleapis,4266,1168,Go,2014-11-24T21:45:36Z,2025-06-21T07:36:32Z,1761001,4266,19,Organization,865,,194,466,100,268,6
sish,antoniomika,4258,328,Go,2019-02-15T15:36:23Z,2025-06-21T15:00:37Z,7608,4258,22,User,73,"Ann Arbor, MI",56,27,25,17,1
go-coffeeshop,thangchung,4252,438,Go,2022-09-18T14:10:42Z,2025-06-20T03:10:47Z,2510,4252,14,User,260,"Saigon, Vietnam",42,0,1,0,3
gin,codegangsta,4246,313,Go,2013-07-25T14:48:24Z,2025-06-09T19:21:16Z,2355,4246,80,User,86,Santa Ana CA,62,0,27,1,18
