name,owner,stars,forks,language,url,open_issues
nanoGPT,karpathy,40920,6776,Python,https://github.com/karpathy/nanoGPT,290
stablediffusion,Stability-AI,40860,5211,Python,https://github.com/Stability-AI/stablediffusion,301
ColossalAI,hpcaitech,40825,4499,Python,https://github.com/hpcaitech/ColossalAI,466
sentry,getsentry,40694,4331,Python,https://github.com/getsentry/sentry,2489
diagrams,mingrammer,40681,2607,Python,https://github.com/mingrammer/diagrams,378
ailearning,apachecn,40668,11543,Python,https://github.com/apachecn/ailearning,2
black,psf,40155,2573,Python,https://github.com/psf/black,368
ultralytics,ultralytics,39962,7747,Python,https://github.com/ultralytics/ultralytics,1056
airflow,apache,39843,14933,Python,https://github.com/apache/airflow,1289
TTS,coqui-ai,39633,5034,Python,https://github.com/coqui-ai/TTS,20
cheat.sh,chubin,39295,1811,Python,https://github.com/chubin/cheat.sh,135
bert,google-research,39072,9674,Python,https://github.com/google-research/bert,887
streamlit,streamlit,39061,3418,Python,https://github.com/streamlit/streamlit,1154
Deep-Learning-Papers-Reading-Roadmap,floodsung,38966,7349,Python,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,90
mitmproxy,mitmproxy,38889,4165,Python,https://github.com/mitmproxy/mitmproxy,349
freqtrade,freqtrade,38676,7612,Python,https://github.com/freqtrade/freqtrade,47
FastChat,lm-sys,38467,4698,Python,https://github.com/lm-sys/FastChat,943
DeepSpeed,deepspeedai,38126,4347,Python,https://github.com/deepspeedai/DeepSpeed,1152
quivr,QuivrHQ,37750,3633,Python,https://github.com/QuivrHQ/quivr,26
gradio,gradio-app,37711,2870,Python,https://github.com/gradio-app/gradio,483
unsloth,unslothai,37592,2934,Python,https://github.com/unslothai/unsloth,1028
Open-Assistant,LAION-AI,37332,3269,Python,https://github.com/LAION-AI/Open-Assistant,292
python-cheatsheet,gto76,37120,6609,Python,https://github.com/gto76/python-cheatsheet,23
interview_internal_reference,0voice,36900,9467,Python,https://github.com/0voice/interview_internal_reference,32
