name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
booster,didi,4995,590,Kotlin,2019-04-23T08:23:13Z,2025-06-20T09:14:43Z,11911,4995,53,Organization,86,"Beijing, China",113,7,10,3,1
DBFlow,agrosner,4870,600,Kotlin,2014-09-17T20:21:02Z,2025-06-13T11:43:27Z,11420,4870,44,User,39,"Boston, MA",165,0,48,2,4
muzei,muzei,4792,961,Kotlin,2014-02-06T23:39:33Z,2025-06-22T10:14:46Z,329659,4792,43,Organization,1,,179,68,30,1,2
Android-CleanArchitecture-Kotlin,android10,4777,941,Kotlin,2017-05-26T12:55:52Z,2025-06-20T02:27:27Z,903,4777,73,User,78,"Berlin, Germany",154,14,9,1,1
sdmaid-se,d4rken-org,4718,681,Kotlin,2022-11-20T07:07:04Z,2025-06-22T06:39:31Z,26098,4718,62,Organization,16,Germany,53,548,7,408,2
fuel,kittinunf,4640,435,Kotlin,2015-06-04T04:03:33Z,2025-06-20T06:46:56Z,2666,4640,90,User,27,"Tokyo, Japan",76,64,4,35,0
FXGL,AlmasB,4639,619,Kotlin,2015-03-23T21:55:07Z,2025-06-21T16:01:33Z,90190,4639,146,User,84,UK,103,72,50,13,6
kotest,kotest,4603,676,Kotlin,2015-11-29T16:32:15Z,2025-06-20T20:54:42Z,28034,4603,108,Organization,42,World,50,456,387,295,10
revanced-patches-template,ReVanced,4591,461,Kotlin,2022-03-20T20:06:01Z,2025-06-21T12:55:41Z,677,4591,3,Organization,40,United States of America,80,21,2,6,3
user-interface-samples,android,4569,1674,Kotlin,2019-09-06T21:00:08Z,2025-06-21T12:31:55Z,246956,4569,204,Organization,141,,200,39,35,4,23
intellij-rainbow-brackets,izhangzhihao,4561,220,Kotlin,2017-10-04T01:51:17Z,2025-06-21T11:48:43Z,4240,4561,5,User,64,Seattle,39,17,20,38,1
qksms,moezbhatti,4554,1069,Kotlin,2015-02-21T19:50:43Z,2025-06-20T02:27:01Z,15337,4554,525,User,3,"Toronto, Canada",134,0,50,1,18
intellij-rust,intellij-rust,4537,384,Kotlin,2015-09-16T23:44:57Z,2025-06-20T12:28:44Z,53109,4537,1833,Organization,9,,64,0,166,7,58
RetroMusicPlayer,RetroMusicPlayer,4468,814,Kotlin,2018-07-27T12:21:51Z,2025-06-21T23:56:31Z,260426,4468,276,Organization,3,India,77,115,72,91,2
my-tv-0,lizongying,4415,521,Kotlin,2024-03-07T08:36:02Z,2025-06-22T05:02:40Z,60838,4415,64,User,97,China,31,105,5,26,0
VPNHotspot,Mygod,4406,407,Kotlin,2018-01-03T07:38:11Z,2025-06-22T07:17:46Z,3764,4406,14,User,123,,76,106,9,20,1
Bluetooth-LE-Spam,simondankelmann,4387,351,Kotlin,2023-10-20T11:54:26Z,2025-06-21T05:34:35Z,229161,4387,2,User,10,Düsseldorf / Germany,73,193,14,96,0
wire,square,4332,585,Kotlin,2013-08-21T15:45:47Z,2025-06-21T11:43:23Z,22392,4332,170,Organization,295,,169,473,124,103,27
PhotoEditor,burhanrashid52,4323,1010,Kotlin,2018-01-23T11:44:10Z,2025-06-20T06:15:42Z,21904,4323,57,User,37,Galiakot,108,12,31,7,0
tasks,tasks,4260,548,Kotlin,2013-07-18T19:44:38Z,2025-06-22T07:22:43Z,131135,4260,929,Organization,6,Chicago,70,1091,247,387,9
chucker,ChuckerTeam,4197,387,Kotlin,2018-11-03T21:25:45Z,2025-06-22T02:28:21Z,37907,4197,74,Organization,1,The Internet,38,114,67,54,5
StreetComplete,streetcomplete,4193,386,Kotlin,2016-07-02T10:44:04Z,2025-06-21T17:40:32Z,513399,4193,128,Organization,9,,73,764,130,319,12
gradle-play-publisher,Triple-T,4188,338,Kotlin,2014-08-07T11:28:01Z,2025-06-20T02:26:57Z,4142,4188,21,Organization,3,,83,10,57,9,0
ByeDPIAndroid,dovecoteescapee,4169,227,Kotlin,2024-02-22T18:01:47Z,2025-06-22T10:11:14Z,19321,4169,91,User,4,,45,36,5,13,8
Android,duckduckgo,4169,991,Kotlin,2017-01-13T17:11:25Z,2025-06-22T03:54:50Z,195908,4169,92,Organization,119,"Paoli, PA",195,1296,92,822,41
RxDownload,ssseasonnn,4134,612,Kotlin,2016-10-28T04:13:42Z,2025-06-21T04:53:20Z,6870,4134,47,User,33,ChengDu,112,0,6,0,2
Kotlin-Tutorials,bennyhuo,4109,565,Kotlin,2016-10-09T15:59:04Z,2025-06-19T01:48:11Z,10692,4109,8,User,116,Beijing,203,0,2,0,0
Hide-My-Applist,Dr-TSNG,4067,424,Kotlin,2021-03-19T14:12:50Z,2025-06-22T09:20:46Z,5563,4067,5,User,30,Sweden,53,24,19,22,2
kotlinpoet,square,4035,295,Kotlin,2017-03-01T04:59:42Z,2025-06-21T18:07:49Z,6563,4035,80,Organization,295,,48,173,152,103,14
corda,corda,4023,1076,Kotlin,2016-10-06T08:46:29Z,2025-06-20T01:15:30Z,212939,4023,64,Organization,126,,295,331,199,41,12
ShimmerRecyclerView,sharish,4019,547,Kotlin,2017-01-03T09:22:15Z,2025-06-17T06:01:28Z,2423,4019,19,User,25,"Bengaluru, India",69,0,7,0,3
WiFiAnalyzer,VREMSoftwareDevelopment,4015,658,Kotlin,2015-12-09T23:37:23Z,2025-06-22T06:57:40Z,26523,4015,15,User,6,,117,94,47,23,1
gradle-versions-plugin,ben-manes,3994,207,Kotlin,2012-12-02T23:01:23Z,2025-06-21T20:37:41Z,2664,3994,99,User,31,"Mountain View, Ca",47,40,77,26,8
auto-dev,unit-mesh,3988,439,Kotlin,2023-04-14T13:46:07Z,2025-06-22T09:03:29Z,15258,3988,4,Organization,54,,53,2174,21,169,0
android,owncloud,3969,3075,Kotlin,2012-08-25T10:35:56Z,2025-06-22T09:25:28Z,284631,3969,290,Organization,171,The Internet,371,705,97,94,14
shadow,GradleUp,3967,412,Kotlin,2012-12-19T16:13:32Z,2025-06-21T08:48:07Z,6085,3967,57,Organization,17,,66,590,114,560,15
AboutLibraries,mikepenz,3939,460,Kotlin,2014-04-22T10:01:06Z,2025-06-21T16:36:19Z,15583,3939,8,User,104,"Linz, Austria",128,379,125,159,2
tts-server-android,jing332,3887,332,Kotlin,2022-09-15T00:07:01Z,2025-06-22T08:07:01Z,8045,3887,80,User,38,China,27,184,2,24,1
UserLAnd,CypherpunkArmory,3859,451,Kotlin,2018-03-20T17:49:56Z,2025-06-21T16:16:29Z,6071,3859,898,Organization,68,,169,0,25,28,15
FastAdapter,mikepenz,3854,492,Kotlin,2015-12-28T11:05:32Z,2025-06-18T11:13:58Z,19869,3854,10,User,104,"Linz, Austria",84,0,50,1,2
apollo-kotlin,apollographql,3853,675,Kotlin,2016-09-28T14:03:30Z,2025-06-21T23:14:25Z,302082,3853,105,Organization,208,"San Francisco, CA",111,388,243,240,4
Hail,aistra0528,3853,134,Kotlin,2021-08-12T07:39:40Z,2025-06-22T10:31:01Z,3720,3853,117,User,9,,26,76,67,10,3
Context-Menu.Android,Yalantis,3844,968,Kotlin,2015-01-13T11:09:41Z,2025-06-15T09:15:25Z,4522,3844,6,Organization,59,"Ukraine, Dnipro",178,0,8,0,2
Balloon,skydoves,3835,298,Kotlin,2019-07-14T07:14:32Z,2025-06-21T15:16:16Z,3743,3835,22,User,74,Digital Nomad,30,184,29,47,0
Fotoapparat,RedApparat,3833,411,Kotlin,2017-03-23T20:59:37Z,2025-06-12T03:37:59Z,1405,3833,87,Organization,2,"Hamburg, Amsterdam",88,0,28,3,5
chatgpt-android,skydoves,3817,447,Kotlin,2022-12-09T11:34:39Z,2025-06-22T10:04:10Z,20415,3817,27,User,74,Digital Nomad,43,114,8,36,10
fcitx5-android,fcitx5-android,3810,214,Kotlin,2021-06-10T13:53:32Z,2025-06-22T09:19:58Z,5208,3810,69,Organization,14,,19,146,23,71,6
Simple-Gallery,SimpleMobileTools,3800,770,Kotlin,2016-02-16T21:17:13Z,2025-06-21T03:53:13Z,253081,3800,378,Organization,22,Slovakia,78,0,188,2,4
rxhttp,liujingxing,3789,463,Kotlin,2019-01-23T09:48:12Z,2025-06-21T05:54:03Z,21176,3789,10,User,16,,59,27,1,10,0
revanced-patches,ReVanced,3703,448,Kotlin,2023-12-14T01:25:17Z,2025-06-22T09:58:59Z,66924,3703,302,Organization,40,United States of America,51,1140,150,1171,20
kotlin-dsl-samples,gradle,3699,434,Kotlin,2016-04-27T22:16:07Z,2025-06-19T18:42:28Z,8220,3699,38,Organization,228,,142,0,26,0,6
KotlinMvp,git-xuhao,3697,916,Kotlin,2017-11-17T07:26:11Z,2025-06-11T09:06:29Z,23627,3697,18,User,31,"Hangzhou, China",82,0,1,0,1
android-clean-architecture-boilerplate,bufferapp,3689,518,Kotlin,2017-08-09T16:54:03Z,2025-06-20T02:27:29Z,3609,3689,28,Organization,192,Remote,145,0,9,0,3
TapTap,KieronQuinn,3681,204,Kotlin,2020-07-30T21:48:12Z,2025-06-21T14:15:49Z,17252,3681,12,User,36,"Salford, UK",106,3,26,12,0
tornadofx,edvin,3673,272,Kotlin,2016-01-06T15:38:14Z,2025-06-17T07:16:49Z,4287,3673,197,User,55,"Tønsberg, Norway",98,0,77,0,11
Spotlight,TakuSemba,3650,366,Kotlin,2017-07-02T06:42:18Z,2025-06-19T13:41:53Z,2025,3650,30,User,62,Japan,45,0,9,0,5
Neo-Store,NeoApplications,3641,119,Kotlin,2021-03-07T12:56:05Z,2025-06-22T10:13:45Z,176692,3641,134,Organization,5,,55,618,217,46,2
PermissionX,guolindev,3624,415,Kotlin,2019-10-30T00:08:41Z,2025-06-20T03:40:56Z,2551,3624,75,User,17,"Suzhou, China",34,3,4,2,4
copymanga,fumiama,3613,84,Kotlin,2020-10-12T10:43:58Z,2025-06-22T00:29:07Z,6234,3613,30,User,168,"Xi'an, China",17,32,5,48,0
dokka,Kotlin,3605,439,Kotlin,2014-07-12T09:15:22Z,2025-06-20T14:41:58Z,476987,3605,683,Organization,109,,65,197,142,142,48
Simple-Calendar,SimpleMobileTools,3604,1161,Kotlin,2016-01-26T21:02:54Z,2025-06-21T09:38:35Z,125997,3604,301,Organization,22,Slovakia,102,0,191,4,7
SimpMusic,maxrave-dev,3584,183,Kotlin,2023-04-15T04:53:33Z,2025-06-22T09:53:46Z,164896,3584,443,User,27,Vietnam,46,387,17,131,2
rethink-app,celzero,3576,184,Kotlin,2020-06-08T13:41:18Z,2025-06-22T01:53:21Z,54393,3576,450,Organization,10,,50,271,137,85,9
dotsindicator,tommybuonomo,3574,361,Kotlin,2017-07-09T20:38:35Z,2025-06-20T10:18:27Z,449,3574,25,User,36,Paris,29,16,8,0,2
Jetpack-Compose-Playground,Foso,3562,302,Kotlin,2019-05-20T22:05:28Z,2025-06-20T03:15:17Z,73401,3562,14,User,81,Hamburg,52,10,47,0,3
android-youtube-player,PierfrancescoSoffritti,3543,767,Kotlin,2016-08-29T12:04:03Z,2025-06-22T07:08:35Z,86413,3543,241,User,32,"London, UK",82,19,28,25,4
trime,osfans,3518,396,Kotlin,2015-05-28T07:43:37Z,2025-06-21T17:38:38Z,31072,3518,123,User,29,江蘇蘇州,73,367,35,152,3
element-android,element-hq,3505,800,Kotlin,2018-10-02T15:56:15Z,2025-06-21T14:07:37Z,223629,3505,2171,Organization,126,Matrix,88,409,308,61,26
EasyFloat,princekin-f,3476,433,Kotlin,2019-08-06T08:02:06Z,2025-06-17T10:45:24Z,28423,3476,82,User,5,Shanghai,36,0,5,3,0
jellyfin-androidtv,jellyfin,3456,602,Kotlin,2018-12-13T14:33:32Z,2025-06-22T10:17:41Z,39025,3456,283,Organization,75,,54,1018,399,450,11
intellij-platform-plugin-template,JetBrains,3440,727,Kotlin,2020-01-24T09:42:52Z,2025-06-22T08:45:16Z,5808,3440,24,Organization,741,Netherlands,142,87,51,26,4
Jetpack-Compose-Tutorials,SmartToolFactory,3434,380,Kotlin,2021-01-03T12:20:16Z,2025-06-21T15:22:54Z,89726,3434,4,User,58,Thrace,65,223,10,0,0
EasyBangumi,easybangumiorg,3372,86,Kotlin,2021-10-05T07:53:10Z,2025-06-22T09:11:53Z,164780,3372,38,Organization,19,China,16,110,5,2,0
Learn-Jetpack-Compose-By-Example,vinaygaba,3364,369,Kotlin,2019-12-02T04:49:10Z,2025-06-22T08:13:55Z,93190,3364,17,User,53,San Francisco,63,2,12,0,6
JetpackMvvm,hegaojian,3351,638,Kotlin,2019-12-21T08:41:45Z,2025-06-22T08:46:45Z,83643,3351,31,User,12,"Shanghai, China",47,0,3,0,2
react-native-keychain,oblador,3346,527,Kotlin,2015-05-20T15:33:48Z,2025-06-21T08:18:32Z,2357,3346,159,User,130,,40,83,86,57,10
compose-destinations,raamcosta,3340,144,Kotlin,2021-09-01T23:17:50Z,2025-06-21T02:29:23Z,2655,3340,41,User,16,"Leiria, Portugal",22,65,19,47,4
Store,MobileNativeFoundation,3291,208,Kotlin,2019-12-05T18:58:10Z,2025-06-20T19:00:37Z,12566,3291,55,Organization,16,,65,26,89,21,14
apkupdater,rumboalla,3287,241,Kotlin,2016-08-21T09:18:13Z,2025-06-22T07:31:07Z,4825,3287,23,User,5,,102,16,27,16,2
Konfetti,DanielMartinus,3286,315,Kotlin,2017-03-25T21:58:25Z,2025-06-22T06:28:42Z,4937,3286,28,User,27,"The Netherlands, Amsterdam",47,5,19,2,7
Kodein,kosi-libs,3275,179,Kotlin,2015-04-16T09:19:43Z,2025-06-21T11:42:36Z,6007,3275,13,Organization,16,,48,37,45,21,1
Scarlet,Tinder,3261,242,Kotlin,2018-05-29T17:23:18Z,2025-06-20T00:00:33Z,1523,3261,105,Organization,18,In 190+ Countries,55,0,18,0,9
SVGAPlayer-Android,svga,3257,502,Kotlin,2017-03-30T04:01:22Z,2025-06-17T07:41:01Z,6476,3257,65,Organization,18,Guangzhou China,53,0,15,0,11
Kvaesitso,MM2-0,3257,126,Kotlin,2021-09-18T21:35:28Z,2025-06-22T09:27:33Z,68266,3257,536,User,4,European Union 🇪🇺,40,760,150,177,19
kotlinconf-app,JetBrains,3254,363,Kotlin,2017-10-26T11:37:25Z,2025-06-21T08:32:45Z,45123,3254,32,Organization,741,Netherlands,137,687,27,296,8
dgs-framework,Netflix,3228,315,Kotlin,2020-11-30T23:54:32Z,2025-06-22T06:48:36Z,8493,3228,47,Organization,232,"Los Gatos, California",234,289,90,73,9
Lemuroid,Swordfish90,3206,204,Kotlin,2019-12-09T13:55:34Z,2025-06-22T07:04:05Z,125094,3206,505,User,21,"Pavia, Italy",45,11,13,15,14
findroid,jarnedemeulemeester,3190,208,Kotlin,2021-05-29T08:48:24Z,2025-06-22T02:20:32Z,262484,3190,243,User,10,"Harelbeke, Belgium",26,246,135,72,26
