name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
UnblockNeteaseMusic,nondanee,17468,2500,JavaScript,2018-06-19T21:18:41Z,2025-06-19T15:00:11Z,1775,17468,217,User,53,"Hangzhou, China",235,0,9,2,9
velocity,julianshapiro,17293,1545,JavaScript,2014-04-09T20:02:38Z,2025-06-14T20:32:43Z,8139,17293,41,User,4,San Francisco,398,0,44,0,0
pouchdb,pouchdb,17283,1473,JavaScript,2010-06-10T18:34:24Z,2025-06-21T04:41:35Z,125667,17283,178,Organization,52,,265,56,369,42,37
cz-cli,commitizen,17231,557,JavaScript,2015-04-20T01:11:39Z,2025-06-20T07:52:32Z,2497,17231,191,Organization,12,"Minneapolis, MN",82,2,86,1,24
whatsapp-web.js,pedroslopez,17124,4158,JavaScript,2019-02-17T02:16:02Z,2025-06-21T06:36:25Z,4229,17124,137,User,46,Dominican Republic,330,77,102,235,40
aframe,aframevr,17110,4112,JavaScript,2015-09-15T02:04:40Z,2025-06-21T03:53:34Z,908269,17110,338,Organization,22,Metaverse,511,466,406,128,12
nodemailer,nodemailer,17103,1387,JavaScript,2011-01-19T21:17:36Z,2025-06-21T04:48:10Z,10316,17103,4,Organization,41,"Tallinn, Estonia",216,31,126,60,1
less.js,less,17056,3403,JavaScript,2010-02-20T17:25:38Z,2025-06-21T03:19:54Z,16662,17056,231,Organization,18,,647,19,233,25,42
BoostNote-Legacy,BoostIO,17025,1458,JavaScript,2016-03-06T17:06:07Z,2025-06-21T04:54:56Z,19251,17025,502,Organization,25,,295,0,217,1,64
Functional-Light-JS,getify,16768,1949,JavaScript,2016-08-17T01:40:50Z,2025-06-19T04:45:45Z,31724,16768,25,User,71,"Austin, TX",458,0,30,0,12
hubot,hubotio,16750,3742,JavaScript,2011-08-27T08:30:59Z,2025-06-21T00:31:12Z,4442,16750,6,Organization,10,,589,33,246,30,0
jquery-pjax,defunkt,16701,1959,JavaScript,2011-02-26T02:44:18Z,2025-06-19T12:35:25Z,872,16701,95,User,107,,550,0,59,1,34
mustache.js,janl,16648,2385,JavaScript,2009-10-04T23:41:19Z,2025-06-20T22:24:38Z,1578,16648,114,User,207,"Berlin, Germany",401,0,101,4,34
superagent,ladjs,16623,1326,JavaScript,2011-04-13T02:29:45Z,2025-06-19T03:35:08Z,6425,16623,181,Organization,102,,222,26,232,5,1
react-loadable,jamiebuilds,16593,777,JavaScript,2017-03-09T18:41:17Z,2025-06-21T03:16:22Z,325,16593,34,User,677,https://jamie.build,143,0,84,0,30
react-window,bvaughn,16563,801,JavaScript,2018-05-07T14:45:51Z,2025-06-20T17:38:00Z,1794,16563,1,User,165,"Brooklyn, NY",64,8,33,26,0
parallax,wagerfield,16544,2130,JavaScript,2013-08-01T15:28:05Z,2025-06-18T02:31:24Z,3796,16544,11,User,86,London,527,0,13,2,6
node-lessons,alsotang,16523,4674,JavaScript,2014-10-05T09:57:08Z,2025-06-17T07:51:15Z,2073,16523,93,User,208,"ShenZhen, China",1103,0,20,0,9
chrome-extensions-samples,GoogleChrome,16520,8620,JavaScript,2012-06-13T00:30:44Z,2025-06-21T05:30:43Z,58082,16520,73,Organization,44,,693,94,146,99,39
typeahead.js,twitter,16505,3177,JavaScript,2013-02-19T19:45:01Z,2025-06-17T06:28:38Z,2151,16505,507,Organization,101,,544,0,69,1,87
complete-javascript-course,jonasschmedtmann,16502,17315,JavaScript,2018-06-14T17:33:47Z,2025-06-21T06:10:54Z,45611,16502,216,User,7,"Faro, Portugal",924,3,1,9,94
material,angular,16500,3372,JavaScript,2014-07-01T19:20:06Z,2025-06-20T09:22:59Z,50704,16500,278,Organization,205,United States of America,705,1,364,0,9
react-demos,ruanyf,16401,6338,JavaScript,2015-03-23T10:50:07Z,2025-06-21T02:00:06Z,1935,16401,1,User,73,"Shanghai, China",1056,0,14,0,1
Mailspring,Foundry376,16383,935,JavaScript,2016-10-13T06:45:50Z,2025-06-21T04:48:12Z,122645,16383,13,Organization,19,"Nashville, TN",183,37,217,12,10
Luckysheet,dream-num,16321,2500,JavaScript,2020-05-15T07:24:59Z,2025-06-21T06:01:21Z,28104,16321,685,Organization,65,,218,1,72,0,17
dva,dvajs,16238,3151,JavaScript,2016-06-24T09:06:16Z,2025-06-17T07:21:11Z,1541,16238,26,Organization,17,,432,0,88,1,6
inferno,infernojs,16168,630,JavaScript,2015-02-01T22:07:38Z,2025-06-21T03:20:29Z,45943,16168,39,Organization,19,,264,54,184,7,0
crypto-js,brix,16144,2433,JavaScript,2013-04-08T20:16:40Z,2025-06-20T02:08:17Z,11074,16144,276,Organization,4,"Berlin, Germany",257,0,23,6,19
medium-editor,yabwe,16111,1853,JavaScript,2013-05-29T17:40:11Z,2025-06-19T08:36:16Z,10387,16111,361,Organization,4,Universe,355,0,143,0,27
typed.js,mattboldt,16051,1770,JavaScript,2013-05-25T22:17:44Z,2025-06-21T03:44:04Z,5879,16051,23,User,44,Texas,202,1,33,8,5
bull,OptimalBits,15996,1435,JavaScript,2013-06-27T14:35:35Z,2025-06-21T05:30:55Z,4149,15996,145,Organization,53,,111,22,213,23,4
luxon,moment,15957,755,JavaScript,2015-11-30T12:48:48Z,2025-06-21T03:15:31Z,99729,15957,185,Organization,7,,105,29,226,36,29
DPlayer,DIYgod,15908,2453,JavaScript,2016-05-03T14:11:22Z,2025-06-21T05:41:21Z,11556,15908,263,User,89,Singapore,402,1,50,3,8
claude-task-master,eyaltoledano,15906,1616,JavaScript,2025-03-04T18:54:54Z,2025-06-21T08:38:38Z,10627,15906,123,User,447,"Montreal, Canada",109,561,19,573,26
hexo-theme-next,iissnan,15896,3589,JavaScript,2014-12-01T14:07:07Z,2025-06-21T03:49:22Z,13366,15896,90,User,29,XiaMen,439,0,118,2,16
overleaf,overleaf,15888,1626,JavaScript,2014-02-08T20:20:34Z,2025-06-21T03:28:29Z,212602,15888,209,Organization,92,Remote,211,2895,106,66,5
vanillawebprojects,bradtraversy,15883,4402,JavaScript,2020-01-28T14:11:32Z,2025-06-21T03:59:35Z,31439,15883,18,User,296,Massachusetts,363,0,19,0,2
