name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
WxJava,binarywang,31314,8884,Java,2016-01-06T08:24:05Z,2025-06-21T09:43:21Z,18596,31314,56,User,36,China,1370,193,415,146,0
spring-boot-examples,ityouknow,30495,12345,Java,2016-11-05T05:32:33Z,2025-06-20T16:37:20Z,1074,30495,17,User,28,"beijing,china",1320,0,8,1,7
kafka,apache,30304,14451,Java,2011-08-15T18:06:16Z,2025-06-21T10:43:59Z,250992,30304,241,Organization,2790,,1053,2782,348,2000,241
hutool,chinabugotech,29918,7634,Java,2014-04-13T07:23:51Z,2025-06-21T05:52:13Z,70072,29918,2,User,5,,608,383,300,165,0
apollo,apolloconfig,29553,10228,Java,2016-03-04T10:24:23Z,2025-06-21T06:31:33Z,56566,29553,135,Organization,13,,1256,65,168,128,1
canal,alibaba,29160,7665,Java,2013-01-13T10:59:52Z,2025-06-20T09:37:26Z,24167,29160,1210,Organization,453,"Hangzhou, China",1177,44,210,98,68
xxl-job,xuxueli,28917,11204,Java,2015-11-28T12:59:34Z,2025-06-21T04:51:45Z,37617,28917,681,User,12,"Shanghai, China",948,127,65,800,129
SpringAll,wuyouzhuguli,28837,8172,Java,2018-05-02T02:48:44Z,2025-06-21T04:05:59Z,1069,28837,34,User,2,,859,0,2,1,13
spring-cloud-alibaba,alibaba,28538,8433,Java,2017-12-01T20:49:15Z,2025-06-21T04:06:00Z,55692,28538,252,Organization,453,"Hangzhou, China",962,47,192,142,39
druid,alibaba,28159,8596,Java,2011-11-03T05:12:51Z,2025-06-20T07:56:30Z,89170,28159,2267,Organization,453,"Hangzhou, China",1689,321,273,152,30
vhr,lenve,27831,10306,Java,2018-01-04T08:57:51Z,2025-06-21T08:11:19Z,8480,27831,213,User,76,,874,2,2,1,56
keycloak,keycloak,27818,7398,Java,2013-07-02T13:38:51Z,2025-06-21T11:05:54Z,545600,27818,2197,Organization,25,,389,3130,323,2000,276
JCSprout,crossoverJie,27084,7060,Java,2017-12-17T09:06:50Z,2025-06-19T12:42:56Z,1191,27084,45,User,136,"CHONGQING,CHINA",1648,0,23,0,15
miaosha,qiurunze123,26429,6626,Java,2018-09-14T04:36:24Z,2025-06-20T14:03:18Z,65716,26429,4,User,13,hangzhou china,40,7,9,1,2
Telegram,DrKLO,26315,8432,Java,2013-10-25T14:08:10Z,2025-06-21T11:11:29Z,603326,26315,403,User,4,,1224,19,15,13,129
fastjson,alibaba,25768,6483,Java,2011-11-03T06:58:52Z,2025-06-21T04:27:47Z,15513,25768,2112,Organization,453,"Hangzhou, China",1284,0,170,3,177
incubator-seata,apache,25676,8834,Java,2018-12-28T08:37:22Z,2025-06-21T10:03:25Z,28905,25676,843,Organization,2790,,841,315,344,364,60
butterknife,JakeWharton,25511,4589,Java,2013-03-05T08:18:59Z,2025-06-21T04:27:51Z,3909,25511,119,User,145,"Pittsburgh, PA, USA",1041,0,86,4,17
toBeTopJavaer,hollischuang,25438,5440,Java,2018-10-25T09:54:54Z,2025-06-20T17:44:27Z,8004,25438,61,User,27,"Hangzhou, China",909,0,36,0,3
SmartRefreshLayout,scwang90,25108,4973,Java,2017-06-02T09:52:50Z,2025-06-21T03:49:54Z,274026,25108,333,User,44,China Gui Yang,509,19,8,9,4
flink,apache,24969,13667,Java,2014-06-07T07:00:10Z,2025-06-21T07:24:49Z,525955,24969,177,Organization,2790,,932,1328,283,2000,176
proxyee-down,proxyee-down-org,24893,4413,Java,2017-10-25T10:07:27Z,2025-06-21T10:07:12Z,26864,24893,214,Organization,7,,950,1,9,0,3
EventBus,greenrobot,24751,4669,Java,2012-07-16T16:55:40Z,2025-06-21T04:27:54Z,1742,24751,144,User,22,Berlin,1037,0,20,4,44
conductor,conductor-oss,24465,625,Java,2023-12-08T06:06:09Z,2025-06-21T10:44:46Z,36217,24465,72,Organization,12,,48,1466,279,189,20
skywalking,apache,24373,6590,Java,2015-11-07T03:30:36Z,2025-06-21T10:29:45Z,173114,24373,70,Organization,2790,,826,306,387,322,1
Hystrix,Netflix,24333,4722,Java,2012-11-19T20:14:46Z,2025-06-21T04:11:04Z,9799,24333,406,Organization,232,"Los Gatos, California",1659,0,104,1,54
bazel,bazelbuild,24217,4237,Java,2014-06-12T16:00:38Z,2025-06-20T19:46:51Z,974854,24217,1824,Organization,73,,607,3250,289,1699,167
Mindustry,Anuken,24159,3137,Java,2017-04-30T01:24:29Z,2025-06-21T10:53:47Z,1860330,24159,55,User,90,,538,1280,385,733,55
